ID;Generations
1;13
2;13
3;18
4;17
5;14
6;25
7;7
8;15
9;13
10;13
11;18
12;17
13;16
14;12
15;12
16;14
17;21
18;10
19;13
20;17
21;9
22;12
23;4
24;13
25;19
26;25
27;18
28;15
29;17
30;13
31;14
32;3
33;8
34;12
35;13
36;15
37;21
38;14
39;12
40;16
41;22
42;19
43;15
44;21
45;22
46;19
47;14
48;23
49;15
50;13
51;10
52;18
53;13
54;13
55;20
56;16
57;26
58;20
59;19
60;14
61;13
62;12
63;31
64;14
65;17
66;19
67;40
68;4
69;12
70;28
71;19
72;13
73;11
74;10
75;12
76;29
77;22
78;19
79;12
80;12
81;23
82;18
83;12
84;12
85;22
86;14
87;23
88;16
89;26
90;18
91;17
92;19
93;24
94;15
95;27
96;15
97;14
98;13
99;12
100;13
101;14
102;14
103;12
104;15
105;7
106;20
107;10
108;8
109;8
110;10
111;12
112;15
113;9
114;19
115;12
116;28
117;20
118;13
119;14
120;13
121;13
122;15
123;28
124;14
125;10
126;30
127;15
128;14
129;29
130;15
131;26
132;29
133;12
134;16
135;17
136;11
137;23
138;16
139;16
140;27
141;9
142;13
143;18
144;14
145;18
146;11
147;20
148;21
149;13
150;16
151;17
152;25
153;16
154;9
155;32
156;11
157;12
158;20
159;10
160;12
161;15
162;31
163;19
164;22
165;19
166;21
167;16
168;12
169;13
170;17
171;18
172;14
173;21
174;18
175;25
176;13
177;22
178;17
179;28
180;27
181;12
182;18
183;18
184;17
185;16
186;14
187;14
188;21
189;29
190;11
191;13
192;20
193;29
194;12
195;20
196;20
197;24
198;14
199;36
200;14
201;12
202;13
203;21
204;35
205;28
206;16
207;17
208;21
