Experiment 1;;;;;;;;;;;;;;;;;;;;;;;
Time (min);F1;F2;F3;Average (P1);;Time (min);F4;F5;Average (P2);;Time (min);F6;F7;Average (P3);;Time (min);F8;F9;F10;F1.1;Time (min);;Fn refers to positions within the same row, but in different columns.
0;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;;"Pn represents the average value calculated from all corresponding ""Fn"" values within the same row."
2;0;0;0;0;;2;0;0;0;;2;0;0;0;;2;0;0;0;0;2;;
4;0;0;0;0;;4;0;0;0;;4;0;0;0;;4;0;0;0;0;4;;
6;0;0;0;0;;6;0;2;2.2;;6;0;0;0;;6;0;0;0;0;6;;
8;0;0;30;22.2;;8;35;5;44.4;;8;1;33;37.8;;8;6;12;30;0;8;;
10;14;42;39;70.4;;10;38;39;85.6;;10;21;36;63.3;;10;10;24;44;0;10;;
12;43;44;43;96.3;;12;45;45;100;;12;45;45;100;;12;27;38;45;4;12;;
14;45;45;44;99.3;;14;45;45;100;;14;45;45;100;;14;32;43;45;5;14;;
16;45;45;45;100;;16;45;45;100;;16;45;45;100;;16;34;43;45;6;16;;
18;45;45;45;100;;18;45;45;100;;18;45;45;100;;18;34;43;45;6;18;;
20;45;45;45;100;;20;45;45;100;;20;45;45;100;;20;34;43;45;6;20;;
22;45;45;45;100;;22;45;45;100;;22;45;45;100;;22;34;43;45;8;22;;
24;45;45;45;100;;24;45;45;100;;24;45;45;100;;24;34;43;45;9;24;;
26;45;45;45;100;;26;45;45;100;;26;45;45;100;;26;35;43;45;9;26;;
28;45;45;45;100;;28;45;45;100;;28;45;45;100;;28;35;43;45;9;28;;
30;45;45;45;100;;30;45;45;100;;30;45;45;100;;30;35;43;45;9;30;;
;;;;;;;;;;;;;;;;;;;;;;;
Experiment 2;;;;;;;;;;;;;;;;;;;;;;;
Time (min);F1;F2;F3;Average (P1);;Time (min);F4;F5;Average (P2);;Time (min);F6;F7;Average (P3);;Time (min);F8;F9;F10;F1.1;Average (P4);;
0;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;;
2;0;0;0;0;;2;0;0;0;;2;0;0;0;;2;0;0;0;0;0;;
4;0;0;0;0;;4;0;0;0;;4;0;0;0;;4;0;0;7;0;3.6;;
6;6;2;14;16.3;;6;16;15;34.4;;6;0;15;16.3;;6;26;15;7;4;27.1;;
8;21;27;16;47.4;;8;26;18;48.9;;8;13;41;58.7;;8;35;32;7;6;41.7;;
10;30;39;24;68.9;;10;33;18;56.7;;10;31;46;83.7;;10;43;43;37;9;68.8;;
12;33;42;27;75.6;;12;35;31;73.3;;12;35;47;89.1;;12;45;46;45;14;78.1;;
14;35;44;28;79.3;;14;37;35;80;;14;35;47;89.1;;14;46;46;46;15;79.7;;
16;38;49;30;86.7;;16;37;35;80;;16;36;47;90.2;;16;46;47;46;15;80.2;;
18;38;49;30;86.7;;18;37;35;80;;18;38;47;92.4;;18;46;47;46;15;80.2;;
20;38;52;31;89.6;;20;38;35;81.1;;20;41;47;95.7;;20;46;47;46;16;80.7;;
22;38;52;31;89.6;;22;38;37;83.3;;22;42;47;96.7;;22;48;47;46;16;81.8;;
24;38;52;31;89.6;;24;41;38;87.8;;24;42;47;96.7;;24;49;47;46;16;82.3;;
26;38;52;33;91.1;;26;41;43;93.3;;26;42;47;96.7;;26;49;47;46;16;82.3;;
28;38;52;33;91.1;;28;43;45;97.8;;28;42;47;96.7;;28;49;47;46;16;82.3;;
30;38;52;33;91.1;;30;43;45;97.8;;30;42;47;96.7;;30;49;47;46;17;82.8;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
