ID;Scars_finales;
1;3;
2;1;
3;3;
4;1;
5;1;
6;1;
7;0;
8;0;
9;2;
10;0;
11;6;
12;1;
13;0;
14;0;
15;3;
16;4;
17;0;
18;0;
19;1;
20;2;
21;1;
22;0;
23;0;
24;1;
25;3;
26;2;
27;4;
28;0;
29;0;
30;3;
31;0;
32;2;
33;0;
34;0;
35;0;
36;1;
37;4;
38;0;
39;1;
40;2;
41;0;
42;6;
43;0;
44;1;
45;1;
46;1;
47;1;
48;1;
49;2;
50;2;
51;1;
52;1;
53;0;
54;3;
55;0;
56;1;
57;0;
58;0;
59;1;
60;1;
61;1;
62;1;
63;0;
64;0;
65;1;
66;0;
67;0;
68;0;
69;1;
70;1;
71;2;
72;0;
73;0;
74;0;
75;2;
76;1;
77;2;
78;0;
79;2;
80;1;
81;0;
82;1;
83;1;
84;2;
85;0;
86;2;
87;0;
88;1;
89;2;
90;0;
91;6;
92;1;
93;0;
94;1;
95;3;
96;3;
97;0;
98;1;
99;1;
100;0;
101;0;
102;2;
103;0;
104;2;
105;4;
106;1;
107;0;
108;1;
109;2;
110;3;
111;0;
112;1;
113;1;
114;0;
115;0;
116;0;
117;3;
118;1;
119;0;
120;0;
121;3;
122;0;
123;0;
124;2;
125;1;
126;0;
127;0;
128;2;
129;0;
130;1;
131;0;
132;5;
133;0;
134;0;
135;1;
136;2;
137;0;
138;0;
139;0;
140;2;
141;0;
142;0;
143;1;
144;0;
145;0;
146;1;
147;0;
148;0;
149;0;
150;1;
151;0;
152;1;
153;1;
154;0;
155;2;
156;0;
157;1;
158;0;
159;1;
160;2;
161;0;
162;2;
163;2;
164;0;
165;0;
166;0;
167;0;
168;0;
169;0;
